image,name,price,rating,reviews
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/03/17/5/27328ac3-502c-4139-9c3b-ec5abfe366d0.jpg,"영아트 PS 파스텔 대용량 플라워연필 HB, 랜덤발송, 48개",7950,5,13
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/03/17/5/af41f764-bf84-46b2-8794-2e8056d4292c.jpg,"영아트 PS 파스텔 대용량 하트연필 B, 랜덤발송, 48개",7420,5,5
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/03/10/9/42966ede-7ecb-4b08-8dbe-c20ad86c7bda.jpg,"문화연필 더존키즈 점보 삼각연필 2B, 혼합색상, 3개",3940,5,5
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/08/27/15/8/19dba5bc-7803-4a81-b0ab-58386c3275bc.jpg,"문화연필 더존 삼각연필 B 5종 세트, 혼합색상, 1세트",1800,5,16
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/730c/13b211b12a25295cc3e0d68503ce41629893604c0f515079f3e7fbe43301.jpg,"모닝글로리 캠퍼스메이트 연필세트 B 2B 연필, 1세트",4880,5,47
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/736844185563943-97bce9ab-184a-416b-8713-8cd902db8fe5.jpg,"핑크망고 산리오 10본 연필 10p B, 마이멜로디, 1세트",3550,None,None
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/740215798159559-1325d4b1-5302-41dd-9fdd-d16f43f1d090.jpg,"핑크망고 산리오 연필 10p 세트 B, 쿠로미, 1세트",3550,5,49
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/8329/46b035f2bb1924e329a3b7297707707a75ceba7866ca497f193b15f65e1c.jpg,"모닝글로리 3000 캠퍼스메이트 연필세트 2B(12자루), 5타(60자루), 혼합색상",10800,5,61
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/bb16/10fbe19dfcfea255705327efb48b3353d1ee1d4694aed70e58e4144fa4ab.jpeg,"모닝글로리 3000 캠퍼스메이트 연필세트 2B(12자루), 1타(12자루), 혼합색상",3890,5,61
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/08/22/18/4/951e66c1-bf7b-432f-b6c7-cc67496a8660.jpg,"필박스 먼작귀 5본 연필 4종 x 2세트 2B, 혼합색상, 1세트",10600,5,12
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/08/21/11/9/dd447797-8d32-4e9b-8dca-72d00dbb17de.jpg,"문화연필 더존 연필 4H, 12개",3450,None,None
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/08/19/11/2/3bf237c2-15a9-4ca1-8b7a-6a845112649f.jpg,"동아피엠에스 LOTORY 필기용 드로잉 연필 4B, 12개",7400,5,7
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/897786399228940-8daea7e3-2210-40c6-861d-2e08603d2b11.jpg,"투코비 연필캡 6p, 컬러, 10세트",8400,5,146
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/997476874650831-3cadd3ff-e96e-469d-8932-3a416ced19c2.jpg,"투코비 연필캡 6p, 투명, 10세트",8400,5,146
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/1025_amir_coupang_oct_80k/a5ce/402e2286e57f5efe917e4cbbb95ff83a2889e5ec81463f26fbddb840515d.jpg,"필박스 포켓몬 5본 연필 2종 x 4세트 2B, 혼합색상, 1세트",11140,None,None
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/e79e/7d56291c6d7b4e32721e7fdac93e92939cabc3b25b85cddeabad504003df.jpg,"투데이리빙 24개 세트 무한 색상 연필 리필 심 지우개 포함 깎지않는 만년 이터널펜 오래쓰는 무제한 리필심 닳지않는 펜슬, R98077A(색상연필+리필심, 12색상, 24개입",10800,None,None
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/e5e8/dd003d38d5990940021fdd10ae4de4f26e71ea23c3d84d65c6d74f56fb88.jpg,"아이콘스 카카오 리틀프렌즈 어피치 튜브 연필 B 4p 세트, 혼합색상, 5세트",9500,5,216
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/08/02/9/2/a1c3de67-968f-4386-b3ca-0a43185a606e.jpg,"아이비스 점보 그립 삼각 연필 세트, 블루, 1세트",4000,5,13
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/3ad2/1c2e4f40f21317b936a5fffb5e1b2875527c259cb5df2e702b8b1b070dc0.jpg,"스테들러 옐로우 지우개 연필 134 12입 펜슬 노랑연필, 2B",4680,5,64
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/628756418481577-2fc38951-0ab8-4dc3-b144-9459abf22296.png,"델리 지우개 연필 HB 1타스, 옐로우, 36개",7200,None,2
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/07/31/16/1/52ade93e-a926-4b30-aed4-17dd5faababf.jpg,"아이비스 빨간색 채점펜세트, 10개",8000,None,20
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/07/31/17/7/ae2b7ca0-e1c1-4771-98db-837481ecf3d4.jpg,"아이비스 점보 그립 삼각 연필 세트, 옐로우, 10개",4000,None,None
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/9a1e/0650b23564fd8da407c3f2d18019dfd3106db5afcecdf29558afd81a154c.jpg,"포포팬시 귀요미 룰루랄라 캐릭터 연필 B 6p, 블루도트 + 옐로도트 + 아이보리구름 + 옐로스타, 2세트",8080,5,1747
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/71698318665407-b240589f-7596-4d33-bfd3-e1990f8aa608.png,"산리오캐릭터즈 8본 연필케이스, 03시나모롤, 3세트",6550,5,60
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/8113/f60e97c79cd5ad9ab18a5131d758272ad5624adc305806388e5deb8ae3de.jpg,"동아 오피스 연필 원 HB, 노랑, 24개",4400,None,None
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/f2f7/e7c61833373209029971d8bbb3e3ddad52e45c4e304012e6e8a8bae0ee4f.png,"올템 베이직 삼각 교정 원목 연필 100개, 100개입",11900,None,9
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/07/09/11/4/a90b5d40-285e-4a8f-a863-709e26bbac11.jpg,"BAUHAUS 클래식 삼각지우개 연필 2B 6종 x 2p 세트, 혼합색상, 1세트",2880,5,27
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/07/09/11/3/dc22b369-b350-408a-9061-f10aaf44497a.jpg,"모나미 바우하우스 클래식 삼각지우개 연필 6종 x 2p 세트 B, 혼합색상, 1세트",2690,5,26
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/07/09/11/8/56ca1594-131b-499d-b9e9-f6d0cdfb734d.jpg,"모나미 바우하우스 클래식 육각지우개 연필 6종 x 2p 세트 B, 혼합색상, 1세트",3930,None,13
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/30ed/0dacafa997e57eae507f0bc1946b5760eec789eb0cd16b5303476076151a.jpg,"모나미 바우하우스 클래식 육각지우개 연필 6종 x 2p 세트 2B, 혼합색상, 1세트",2690,5,167
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/4742/7d90ae3480579675a9e715dfa11e34972a75ea2f55089a2a1ca0f773f461.jpg,"모닝글로리 3000 캠퍼스메이트 연필세트 B(12자루), 임의배송, 3세트",9920,5,1
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/2f36/8228f4d86e29beba4df1dc5d42d7cc5c0b89d467f48424de207671ba56f9.jpg,"스미글 연필 RG11 호주정품, 컬러체인지 5개입",9500,5,1
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/61d0/95ae5834ebbda831ae6a094c1f95351a863471d33240e482810152df5912.jpg,"스테들러 780 최고급 홀더 샤프 2mm, 2개",12500,5,1747
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/images/2016/05/11/18/5/cda39f6d-45ac-4250-878a-6e80b97b37b7.jpg,"스테들러 마스 루모그라프 100 전문가용 연필, 2B, 12개",12550,5,738
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/06/14/15/0/e7e12cdf-e5d9-4d67-9450-8e2a07484b9b.jpg,"iiGEN 순덕이크루 만년연필 HB, 브라운, 3개",5140,None,36
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/06/14/15/3/d0e3683d-6220-4e16-bfb7-38bf36e1374a.jpg,"iiGEN 순덕이크루만년 깎지않는 오래쓰는 무한 필기 특수 문구 연필 HB, 화이트, 5개",7900,None,36
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/d1a4/3445a3e2e187bd3a27eb8a054b79caafb5898cb506f9a2ef9296715b872c.JPG,"산리오 시나모롤 원형 연필세트 12자루 2B, 블루",7000,5,26
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/e275/5c78c721ce954c201697fb573df53b58dca69b7b4202fe50948785dde8a7.jpg,"오래쓰는 무한 연필 3개세트 닳지않는 반영구 연필 샤프, 스카이, 3개",4050,None,26
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/rs_quotation_api/tkpqzv29/abf00e8b8c4a498091fb89db266ee708.jpg,"코히모 무한 오래쓰는 연필 12색 세트, 1세트, 혼합색상",8900,None,None
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/354935724792055-803bd4e0-ce06-4553-8fe4-9f9e12adf22d.jpg,"델리 펜슬그립 연필그립 4종 세트 U750 02, 혼합색상, 6세트",5800,None,None
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/images/2018/08/09/16/1/aa6b079b-937c-4164-98e5-00fb2f348820.jpg,"[네임연필] 스테들러 옐로우 육각연필_연필세트, 2B, 12개",5700,5,272
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/108673615165211-236bf344-c0a7-4573-b0e8-4d037c2876d9.jpg,"산리오 마이멜로디 피규어 연필보호캡 문구세트, 핑크",4170,5,12
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/52eb/fb70d0cf1f1e305f6574e9dc83949090511cd9da2db9069ba2f522404ab4.jpg,"스테들러 펜슬 HB 134, 옐로우, 72개",12000,5,2
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/431229395954621-2fa7d64f-294d-442e-ae3b-691403e7140a.jpg,"투코비 코마 삼각 그립 교정연필 B 세트 TC-P02, 혼합색상, 36개",9900,5,6
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/b73e/fdf2b1bfbae6a3b8943d0bb67e0274d5759c5900688be18cbf9d34acf3c4.jpg,"동아 미피 슬림 연필 2B 5본입 / 2mm / 돌려쓰는 연필 / 캐릭터 연필 / 샤프식 연필",1920,5,4
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/82637537057383-197bf958-6507-4d7f-a12f-fb865bb115b7.jpg,"시스맥스 럭스 연필꽂이, 화이트, 1개",3590,5,146
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/c1e6/983e27e3b958ef2ff4cde9a920525b292417200f62e16ff7d1ebc24fc0a3.jpg,"까페 곰돌이 만년 드로잉 연필 20개, 세트",26770,5,12
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/519e/ab653acb410af0b6455140ecfb23794d1244fb834de03d59373cc2c2d357.jpg,"다오니 샵 산리오 연필 새학기 준비물 초등학생 필수품, 시나모롤",7200,None,None
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/2253/16007175246a659f71277f2d988689f712f43de32933f5b7ef1b674cc01f.png,"투코비 코마 삼각 지우개 연필 B TC-208 48본입, 혼합색상, 2세트",10500,5,1668
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/02/29/12/6/5bca4571-582d-428a-a758-4c139e57e3ff.png,"투코비 코마 삼각그립 교정연필 2B, 혼합색상, 36개",9900,5,244
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/02/29/12/1/455bcbe3-bef7-41ff-9ccb-9fc076f5b804.jpg,"투코비 코마 삼각그립 점보 2B 교정연필 TC-P12, 혼합색상, 12개",9500,None,None
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/02/28/16/3/2c3f149e-54cc-4f10-bb90-2100eb8d5ff9.jpg,"투코비 코마 삼각 지우개 연필 SG-208 HB, 혼합색상, 1세트",3120,None,None
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/161107950497504-3a9060fc-1db9-49e7-8fb4-b55cf4799517.png,"몽마르뜨 동아피엠에스 스케치 필기 연필 12p, 4B, 1개",6900,None,None
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/02/27/9/2/92a1ae7a-8b35-498a-ae68-f629b179d39c.png,"델리 인피니티 지우개 연필 세트 2B EC019, 혼합색상, 12개",4900,5,7
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/02/27/14/5/3d996612-88a6-4144-b4b5-f356d6e1c746.jpg,"투코비 코마 흑목 지우개 연필 B 6종 x 2p 세트 TC-P01, 혼합색상, 1세트",4000,None,6
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/02/26/11/9/8dcfb01f-502d-4441-8ed2-3b94e55710c2.png,"델리 점보 교정 연필 6B +미니 연필깎이 세트, 랜덤 발송, 1세트",6000,None,40
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/02/26/16/5/8da34095-33e9-48c0-bb14-0ce6bfeb3ea7.jpg,"델리 점보 이지그립 2B 연필 2종 x 4p + 연필깎이 세트 HC123, 혼합색상, 1세트",6000,5,6
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/02/23/14/5/21486192-f75f-4e9e-949a-e54cb6e695f0.jpg,"델리 점보 교정 연필 4B +미니 점보 연필깎이 세트, 혼합색상, 1세트",6000,5,35
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/ea80/800f814ca3dd6508bfeea91631b9261d809f6001e08867491d17dafe34fc.jpg,"블링스쿨 산리오 연필, 쿠로미",5000,5,8
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/5516/27f492f74ad6b894ad8d56ee174b1073446bea033134a32539cb7e5aabae.png,"모나미 모니주 연필 B, 여, 120개",20510,5,384
